Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Escapement,Average_Terminal_Run,Average_Production
Atnarko,Chinook salmon,Escapement,2018,1990,1987,3,1013,NA,NA
,,,NA,1991,1987,4,3476,NA,NA
,,,NA,1992,1987,5,16074,NA,NA
,,,NA,1993,1987,6,1865,NA,NA
,,,NA,1991,1988,3,828,NA,NA
,,,NA,1992,1988,4,14288,NA,NA
,,,NA,1993,1988,5,14918,NA,NA
,,,NA,1994,1988,6,1507,NA,NA
,,,NA,1992,1989,3,2143,NA,NA
,,,NA,1993,1989,4,13986,NA,NA
,,,NA,1994,1989,5,12664,NA,NA
,,,NA,1995,1989,6,949,NA,NA
,,,NA,1993,1990,3,4662,NA,NA
,,,NA,1994,1990,4,9574,NA,NA
,,,NA,1995,1990,5,14242,NA,NA
,,,NA,1996,1990,6,989,NA,NA
,,,NA,1994,1991,3,4432,NA,NA
,,,NA,1995,1991,4,6330,NA,NA
,,,NA,1996,1991,5,10219,NA,NA
,,,NA,1997,1991,6,1298,NA,NA
,,,NA,1995,1992,3,1899,NA,NA
,,,NA,1996,1992,4,7252,NA,NA
,,,NA,1997,1992,5,5626,NA,NA
,,,NA,1998,1992,6,770,NA,NA
,,,NA,1996,1993,3,2307,NA,NA
,,,NA,1997,1993,4,3462,NA,NA
,,,NA,1998,1993,5,6543,NA,NA
,,,NA,1999,1993,6,174,NA,NA
,,,NA,1997,1994,3,865,NA,NA
,,,NA,1998,1994,4,3849,NA,NA
,,,NA,1999,1994,5,7412,NA,NA
,,,NA,2000,1994,6,928,NA,NA
,,,NA,1998,1995,3,2309,NA,NA
,,,NA,1999,1995,4,7697,NA,NA
,,,NA,2000,1995,5,10538,NA,NA
,,,NA,2001,1995,6,2354,NA,NA
,,,NA,1999,1996,3,1267,NA,NA
,,,NA,2000,1996,4,5534,NA,NA
,,,NA,2001,1996,5,12275,NA,NA
,,,NA,2002,1996,6,1478,NA,NA
,,,NA,2000,1997,3,352,NA,NA
,,,NA,2001,1997,4,3979,NA,NA
,,,NA,2002,1997,5,3422,NA,NA
,,,NA,2003,1997,6,1030,NA,NA
,,,NA,2001,1998,3,3027,NA,NA
,,,NA,2002,1998,4,5756,NA,NA
,,,NA,2003,1998,5,6889,NA,NA
,,,NA,2004,1998,6,1739,NA,NA
,,,NA,2002,1999,3,856,NA,NA
,,,NA,2003,1999,4,3863,NA,NA
,,,NA,2004,1999,5,6260,NA,NA
,,,NA,2005,1999,6,1202,NA,NA
,,,NA,2003,2000,3,837,NA,NA
,,,NA,2004,2000,4,3478,NA,NA
,,,NA,2005,2000,5,5839,NA,NA
,,,NA,2006,2000,6,1300,NA,NA
,,,NA,2004,2001,3,348,NA,NA
,,,NA,2005,2001,4,4465,NA,NA
,,,NA,2006,2001,5,11594,NA,NA
,,,NA,2007,2001,6,610,NA,NA
,,,NA,2005,2002,3,172,NA,NA
,,,NA,2006,2002,4,5851,NA,NA
,,,NA,2007,2002,5,5246,NA,NA
,,,NA,2008,2002,6,654,NA,NA
,,,NA,2006,2003,3,542,NA,NA
,,,NA,2007,2003,4,1524,NA,NA
,,,NA,2008,2003,5,2243,NA,NA
,,,NA,2009,2003,6,112,NA,NA
,,,NA,2007,2004,3,850,NA,NA
,,,NA,2008,2004,4,2429,NA,NA
,,,NA,2009,2004,5,4027,NA,NA
,,,NA,2010,2004,6,516,NA,NA
,,,NA,2008,2005,3,1962,NA,NA
,,,NA,2009,2005,4,5407,NA,NA
,,,NA,2010,2005,5,5369,NA,NA
,,,NA,2011,2005,6,154,NA,NA
,,,NA,2009,2006,3,1380,NA,NA
,,,NA,2010,2006,4,3476,NA,NA
,,,NA,2011,2006,5,4065,NA,NA
,,,NA,2012,2006,6,335,NA,NA
,,,NA,2010,2007,3,1136,NA,NA
,,,NA,2011,2007,4,4039,NA,NA
,,,NA,2012,2007,5,2565,NA,NA
,,,NA,2013,2007,6,173,NA,NA
,,,NA,2011,2008,3,386,NA,NA
,,,NA,2012,2008,4,2714,NA,NA
,,,NA,2013,2008,5,6949,NA,NA
,,,NA,2014,2008,6,1215,NA,NA
,,,NA,2012,2009,3,1812,NA,NA
,,,NA,2013,2009,4,10750,NA,NA
,,,NA,2014,2009,5,7601,NA,NA
,,,NA,2015,2009,6,392,NA,NA
,,,NA,2013,2010,3,4818,NA,NA
,,,NA,2014,2010,4,7406,NA,NA
,,,NA,2015,2010,5,11667,NA,NA
,,,NA,2016,2010,6,254,NA,NA
,,,NA,2014,2011,3,2958,NA,NA
,,,NA,2015,2011,4,25331,NA,NA
,,,NA,2016,2011,5,7760,NA,NA
,,,NA,2017,2011,6,146,NA,NA
,,,NA,2015,2012,3,7204,NA,NA
,,,NA,2016,2012,4,12222,NA,NA
,,,NA,2017,2012,5,4148,NA,NA
,,,NA,2016,2013,3,4398,NA,NA
,,,NA,2017,2013,4,4189,NA,NA
,,,NA,2017,2014,3,1912,NA,NA
,,,NA,1993,NA,Total,35431,NA,NA
,,,NA,1994,NA,Total,28177,NA,NA
,,,NA,1995,NA,Total,23420,NA,NA
,,,NA,1996,NA,Total,20767,NA,NA
,,,NA,1997,NA,Total,11251,NA,NA
,,,NA,1998,NA,Total,13471,NA,NA
,,,NA,1999,NA,Total,16550,NA,NA
,,,NA,2000,NA,Total,17352,NA,NA
,,,NA,2001,NA,Total,21635,NA,NA
,,,NA,2002,NA,Total,11512,NA,NA
,,,NA,2003,NA,Total,12619,NA,NA
,,,NA,2004,NA,Total,11825,NA,NA
,,,NA,2005,NA,Total,11678,NA,NA
,,,NA,2006,NA,Total,19287,NA,NA
,,,NA,2007,NA,Total,8230,NA,NA
,,,NA,2008,NA,Total,7288,NA,NA
,,,NA,2009,NA,Total,10926,NA,NA
,,,NA,2010,NA,Total,10497,NA,NA
,,,NA,2011,NA,Total,8644,NA,NA
,,,NA,2012,NA,Total,7426,NA,NA
,,,NA,2013,NA,Total,22690,NA,NA
,,,NA,2014,NA,Total,19180,NA,NA
,,,NA,2015,NA,Total,44594,NA,NA
,,,NA,2016,NA,Total,24634,NA,NA
,,,NA,2017,NA,Total,10395,NA,NA
