Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Average_Escapement,Average_Terminal_Run,Cov_VarName3
Nehalem,Chinook salmon,Terminal Run,2016,1994,NA,6486,1.46
,,,,1995,NA,5194,-0.34
,,,,1996,NA,9211,-1.13
,,,,1997,NA,10026,-0.23
,,,,1998,NA,8245,-3.42
,,,,1999,NA,8064,0.55
,,,,2000,NA,6856,-0.45
,,,,2001,NA,11660,-1.82
,,,,2002,NA,18089,0.3
,,,,2003,NA,10906,-3.84
,,,,2004,NA,9974,-0.34
,,,,2005,NA,8114,-0.75
,,,,2006,NA,4717,1.21
,,,,2007,NA,4308,0.93
,,,,2008,NA,3809,0.4
,,,,2009,NA,4562,4.57
,,,,2010,NA,4438,-2.41
,,,,2011,NA,6172,2.23
,,,,2012,NA,6776,1.43
,,,,2013,NA,15036,1.41
,,,,2014,NA,9362,0.91
,,,,2015,NA,12621,-1.04
